match_name,actual_score,portfolio_name,portfolio_style,pre_match_rank,profit,roi,failure_pattern,favorite_margin,handicap_depth,actual_score_covered,underdog_goal_tail_included,draw_path_included,qualification_pressure_type,recommended_fix
Switzerland vs Bosnia and Herzegovina,4:1,第4组合,System,,1152.0,0.96,profitable,three_plus_goal_win,1.0,,False,False,,No tuning action from this row alone.
Switzerland vs Bosnia and Herzegovina,4:1,推荐组合,Recommendation / Rank #1,1,906.0,0.755,profitable,three_plus_goal_win,1.0,,False,False,,No tuning action from this row alone.
Switzerland vs Bosnia and Herzegovina,4:1,第5组合,System,,660.0,0.55,profitable,three_plus_goal_win,0.0,,False,False,,No tuning action from this row alone.
Switzerland vs Bosnia and Herzegovina,4:1,第2组合,System,,596.0,0.497,profitable,three_plus_goal_win,1.0,,True,False,,No tuning action from this row alone.
Switzerland vs Bosnia and Herzegovina,4:1,第3组合,System,,172.0,0.143,profitable,three_plus_goal_win,1.0,,False,True,,No tuning action from this row alone.
Switzerland vs Bosnia and Herzegovina,4:1,第7组合,System,,-270.0,-0.225,correct_score_over_concentrated;underdog_goal_broke_clean_sheet,three_plus_goal_win,0.0,,False,True,,Add or reweight underdog-goal adjacent score paths.
Switzerland vs Bosnia and Herzegovina,4:1,第10组合,System,,-653.0,-0.544,correct_score_over_concentrated;over_under_wrong,three_plus_goal_win,1.0,,True,True,,Limit clean-sheet correct-score concentration.
Switzerland vs Bosnia and Herzegovina,4:1,第6组合,System,,-1200.0,-1.0,correct_score_over_concentrated;low_odds_false_safety;underdog_goal_broke_clean_sheet,three_plus_goal_win,0.0,,False,True,,Add or reweight underdog-goal adjacent score paths.
Switzerland vs Bosnia and Herzegovina,4:1,第8组合,System,,-1200.0,-1.0,correct_score_over_concentrated;low_odds_false_safety;underdog_goal_broke_clean_sheet,three_plus_goal_win,0.0,,False,True,,Add or reweight underdog-goal adjacent score paths.
Switzerland vs Bosnia and Herzegovina,4:1,第9组合,System,,-1200.0,-1.0,correct_score_over_concentrated;low_odds_false_safety,three_plus_goal_win,0.0,,True,False,,Limit clean-sheet correct-score concentration.
Switzerland vs Bosnia and Herzegovina,4:1,第11组合,System,,-1200.0,-1.0,low_odds_false_safety;over_under_wrong,three_plus_goal_win,0.0,,False,False,,Check totals signal against score grid and pressure context.
Switzerland vs Bosnia and Herzegovina,4:1,我的组合,My Portfolio,,-1500.0,-1.0,correct_score_over_concentrated;low_odds_false_safety,three_plus_goal_win,0.0,,True,True,,Limit clean-sheet correct-score concentration.
