match_id,match_name,kickoff,actual_score,portfolio_name,portfolio_style,pre_match_rank,pre_match_score,total_stake,net_profit,roi,hit_count,loss_count,push_count,best_score_path,actual_score_path,covered_actual_score,zero_risk_triggered,one_goal_deviation_failure,recommendation_rank_pre_match,actual_profit_rank_post_match,recomputed_with_current_model
2026_06_18_Switzerland_Bosnia_and_Herzegovina,Switzerland vs Bosnia and Herzegovina,2026-06-19T15:45:18.212803+08:00,4:1,第4组合,System,,,1200.0,1152.0,0.96,1,0,0,-,three_plus_goal_win,,False,False,,1,False
2026_06_18_Switzerland_Bosnia_and_Herzegovina,Switzerland vs Bosnia and Herzegovina,2026-06-19T15:45:18.212803+08:00,4:1,推荐组合,System,,,1200.0,906.0,0.755,2,0,0,-,three_plus_goal_win,,False,False,,2,False
2026_06_18_Switzerland_Bosnia_and_Herzegovina,Switzerland vs Bosnia and Herzegovina,2026-06-19T15:45:18.212803+08:00,4:1,第5组合,System,,,1200.0,660.0,0.55,1,0,0,-,three_plus_goal_win,,False,False,,3,False
2026_06_18_Switzerland_Bosnia_and_Herzegovina,Switzerland vs Bosnia and Herzegovina,2026-06-19T15:45:18.212803+08:00,4:1,第2组合,System,,,1200.0,596.0,0.497,2,1,0,-,three_plus_goal_win,,False,False,,4,False
2026_06_18_Switzerland_Bosnia_and_Herzegovina,Switzerland vs Bosnia and Herzegovina,2026-06-19T15:45:18.212803+08:00,4:1,第3组合,System,,,1200.0,172.0,0.143,1,1,0,-,three_plus_goal_win,,False,False,,5,False
2026_06_18_Switzerland_Bosnia_and_Herzegovina,Switzerland vs Bosnia and Herzegovina,2026-06-19T15:45:18.212803+08:00,4:1,第7组合,System,,,1200.0,-270.0,-0.225,1,1,0,-,three_plus_goal_win,,False,False,,6,False
2026_06_18_Switzerland_Bosnia_and_Herzegovina,Switzerland vs Bosnia and Herzegovina,2026-06-19T15:45:18.212803+08:00,4:1,第10组合,System,,,1200.0,-653.0,-0.544,3,14,0,-,three_plus_goal_win,,False,False,,7,False
2026_06_18_Switzerland_Bosnia_and_Herzegovina,Switzerland vs Bosnia and Herzegovina,2026-06-19T15:45:18.212803+08:00,4:1,第6组合,System,,,1200.0,-1200.0,-1.0,0,1,0,-,three_plus_goal_win,,True,False,,8,False
2026_06_18_Switzerland_Bosnia_and_Herzegovina,Switzerland vs Bosnia and Herzegovina,2026-06-19T15:45:18.212803+08:00,4:1,第8组合,System,,,1200.0,-1200.0,-1.0,0,2,0,-,three_plus_goal_win,,True,False,,9,False
2026_06_18_Switzerland_Bosnia_and_Herzegovina,Switzerland vs Bosnia and Herzegovina,2026-06-19T15:45:18.212803+08:00,4:1,第9组合,System,,,1200.0,-1200.0,-1.0,0,2,0,-,three_plus_goal_win,,True,False,,10,False
2026_06_18_Switzerland_Bosnia_and_Herzegovina,Switzerland vs Bosnia and Herzegovina,2026-06-19T15:45:18.212803+08:00,4:1,第11组合,System,,,1200.0,-1200.0,-1.0,0,1,0,-,three_plus_goal_win,,True,False,,11,False
